% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 91.18    0.086388          11      7766           write
  5.99    0.005677         189        30           epoll_wait
  1.00    0.000948          86        11           poll
  1.00    0.000943         188         5           close
  0.23    0.000221         221         1           restart_syscall
  0.22    0.000207           2        90           getpid
  0.21    0.000199           6        29           getsockopt
  0.08    0.000074           2        28           rt_sigaction
  0.03    0.000031           6         5         2 read
  0.03    0.000026          26         1           shutdown
  0.01    0.000011           5         2           recvfrom
  0.01    0.000008           8         1           stat
  0.01    0.000005           5         1           chdir
  0.00    0.000003           3         1           setitimer
  0.00    0.000001           1         1           times
------ ----------- ----------- --------- --------- ----------------
100.00    0.094742          11      7972         2 total
